iter	Logloss
0	0.6119675446
1	0.5492276382
2	0.4915089798
3	0.4376860809
4	0.4000693512
5	0.3647386169
6	0.3336651993
7	0.3035560989
8	0.2793092728
9	0.2532649612
10	0.2339834976
11	0.2149256706
12	0.1971892548
13	0.1814171982
14	0.1670103836
15	0.1542181015
16	0.1425063324
17	0.1326268578
18	0.1222889519
19	0.1125469875
20	0.1047135162
21	0.09770180702
22	0.09282552719
23	0.08779086113
24	0.08234300613
25	0.07644272804
26	0.07195343018
27	0.06801797867
28	0.06430343628
29	0.06072126389
30	0.0570416832
31	0.05343306541
32	0.05047730446
33	0.0477894783
34	0.04541146755
35	0.04327507973
36	0.04193638802
37	0.03971283436
38	0.03789193869
39	0.03615228653
40	0.0344530344
41	0.03319589376
42	0.03145995617
43	0.03032775879
44	0.02918017864
45	0.0278826952
46	0.02683003902
47	0.02575249672
48	0.02463610649
49	0.02374595165
50	0.02294424057
51	0.02209363937
52	0.02131889582
53	0.0206460166
54	0.01991706133
55	0.01919283986
56	0.01858248711
57	0.01773812771
58	0.01728754759
59	0.01676629305
